StudyID,FishID,GEN,time,local_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:49:03Z,2019-05-09 07:49:03.775800,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:49:34Z,2019-05-09 07:49:34.694200,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:49:44Z,2019-05-09 07:49:44.682200,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:49:50Z,2019-05-09 07:49:50.042900,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:50:00Z,2019-05-09 07:50:00.029800,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:50:00Z,2019-05-09 07:50:00.278700,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_1,2019-05-09T15:50:05Z,2019-05-09 07:50:05.146500,119.058,North Delta,38.23946,-121.52507,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_2,2019-05-09T15:59:30Z,2019-05-09 07:59:30.395200,118.398,North Delta,38.23922,-121.53536,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_2,2019-05-09T16:01:03Z,2019-05-09 08:01:03.655700,118.398,North Delta,38.23922,-121.53536,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2019,SB2019-001,BlwGeorg_2,2019-05-09T16:01:13Z,2019-05-09 08:01:13.164600,118.398,North Delta,38.23922,-121.53536,5/5/2019 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
