"year","spawner_count","data_type","stream"
2001,26.0336961050454,"modeled_spawners","battle creek"
2002,52.0423214703027,"modeled_spawners","battle creek"
2003,62.3929098857461,"modeled_spawners","battle creek"
2004,20.0794459366804,"modeled_spawners","battle creek"
2005,32.4097711471046,"modeled_spawners","battle creek"
2006,82.3778660570562,"modeled_spawners","battle creek"
2007,86.0130142261065,"modeled_spawners","battle creek"
2008,30.0136735651613,"modeled_spawners","battle creek"
2009,62.0291973330947,"modeled_spawners","battle creek"
2010,50.0009089939193,"modeled_spawners","battle creek"
2011,37.3898499258512,"modeled_spawners","battle creek"
2012,172.126210952026,"modeled_spawners","battle creek"
2013,80.264140626527,"modeled_spawners","battle creek"
2014,79.1489219762481,"modeled_spawners","battle creek"
2015,18.3498216913591,"modeled_spawners","battle creek"
2016,26.1820144887971,"modeled_spawners","battle creek"
2017,5.50315552377478,"modeled_spawners","battle creek"
2018,22.0558780338282,"modeled_spawners","battle creek"
2019,21.4594297634038,"modeled_spawners","battle creek"
2003,24.990061657538,"modeled_spawners","clear creek"
2004,37.8625325415745,"modeled_spawners","clear creek"
2005,68.1655026693298,"modeled_spawners","clear creek"
2006,76.7382683453644,"modeled_spawners","clear creek"
2007,49.2547226999775,"modeled_spawners","clear creek"
2008,65.4419283926986,"modeled_spawners","clear creek"
2009,116.369391121523,"modeled_spawners","clear creek"
2010,20.7844652944284,"modeled_spawners","clear creek"
2011,7.97781380918476,"modeled_spawners","clear creek"
2012,43.5709862759736,"modeled_spawners","clear creek"
2013,135.58243675821,"modeled_spawners","clear creek"
2014,90.4633796919727,"modeled_spawners","clear creek"
2015,44.1778794156185,"modeled_spawners","clear creek"
2016,28.8174293590261,"modeled_spawners","clear creek"
2017,20.9047345832458,"modeled_spawners","clear creek"
2018,47.1785477517214,"modeled_spawners","clear creek"
2019,61.8216390054234,"modeled_spawners","clear creek"
2020,55.8667670511112,"modeled_spawners","clear creek"
2021,183.468851015919,"modeled_spawners","clear creek"
2014,219.452534972894,"modeled_spawners","mill creek"
2015,58.9715143661936,"modeled_spawners","mill creek"
2016,47.8767724536842,"modeled_spawners","mill creek"
2017,97.8320153695775,"modeled_spawners","mill creek"
2018,50.5270617178854,"modeled_spawners","mill creek"
2019,79.8462288905538,"modeled_spawners","mill creek"
2020,43.0614470221261,"modeled_spawners","mill creek"
2014,643.857991864539,"modeled_spawners","deer creek"
2015,100.196052879771,"modeled_spawners","deer creek"
2016,271.489463587223,"modeled_spawners","deer creek"
2017,160.366744082448,"modeled_spawners","deer creek"
2018,106.048326676111,"modeled_spawners","deer creek"
2019,376.727093364062,"modeled_spawners","deer creek"
2020,41.3565299222201,"modeled_spawners","deer creek"
2004,1618,"upstream_passage_estimate","yuba river"
2005,5274,"upstream_passage_estimate","yuba river"
2006,1456,"upstream_passage_estimate","yuba river"
2007,353,"upstream_passage_estimate","yuba river"
2008,1320,"upstream_passage_estimate","yuba river"
2009,2616,"upstream_passage_estimate","yuba river"
2010,3737,"upstream_passage_estimate","yuba river"
2011,2360,"upstream_passage_estimate","yuba river"
2012,2289,"upstream_passage_estimate","yuba river"
2013,4046,"upstream_passage_estimate","yuba river"
2014,2021,"upstream_passage_estimate","yuba river"
2015,235,"upstream_passage_estimate","yuba river"
2018,281,"upstream_passage_estimate","yuba river"
2020,1337,"upstream_passage_estimate","yuba river"
2021,1669,"upstream_passage_estimate","yuba river"
2012,72590,"carcass_cjs_estimate","feather river"
2013,146441,"carcass_cjs_estimate","feather river"
2014,62034,"carcass_cjs_estimate","feather river"
2015,20382,"carcass_cjs_estimate","feather river"
2016,38781,"carcass_cjs_estimate","feather river"
2017,10536,"carcass_cjs_estimate","feather river"
2018,57369,"carcass_cjs_estimate","feather river"
2019,51967,"carcass_cjs_estimate","feather river"
2020,42969,"carcass_cjs_estimate","feather river"
2021,9688,"carcass_cjs_estimate","feather river"
2022,6573,"carcass_cjs_estimate","feather river"
2001,18415,"carcass_cjs_estimate","butte creek"
2002,12893,"carcass_cjs_estimate","butte creek"
2003,6063,"carcass_cjs_estimate","butte creek"
2004,10221,"carcass_cjs_estimate","butte creek"
2005,16981,"carcass_cjs_estimate","butte creek"
2006,6296,"carcass_cjs_estimate","butte creek"
2007,6237,"carcass_cjs_estimate","butte creek"
2008,10009,"carcass_cjs_estimate","butte creek"
2009,2561,"carcass_cjs_estimate","butte creek"
2010,1979,"carcass_cjs_estimate","butte creek"
2011,4859,"carcass_cjs_estimate","butte creek"
2012,16140,"carcass_cjs_estimate","butte creek"
2013,15886,"carcass_cjs_estimate","butte creek"
2014,4851,"carcass_cjs_estimate","butte creek"
2015,413,"carcass_cjs_estimate","butte creek"
2016,5371,"carcass_cjs_estimate","butte creek"
2017,515,"carcass_cjs_estimate","butte creek"
2018,2320,"carcass_cjs_estimate","butte creek"
2019,14679,"carcass_cjs_estimate","butte creek"
2020,1229,"carcass_cjs_estimate","butte creek"
2021,1807,"carcass_cjs_estimate","butte creek"
2022,2900,"carcass_cjs_estimate","butte creek"
