"year","stream","data_type","count","lcl","ucl"
1995,"battle creek","upstream_estimate",66,NA,NA
1996,"battle creek","upstream_estimate",35,NA,NA
1997,"battle creek","upstream_estimate",107,NA,NA
1998,"battle creek","upstream_estimate",178,NA,NA
1999,"battle creek","upstream_estimate",73,NA,NA
2000,"battle creek","upstream_estimate",78,NA,NA
2001,"battle creek","P2S_modeled_count",24,17,33
2001,"battle creek","upstream_estimate",111,NA,NA
2001,"battle creek","redd_count",30,NA,NA
2001,"battle creek","holding_count",119,NA,NA
2002,"battle creek","P2S_modeled_count",50,38,64
2002,"battle creek","upstream_estimate",222,NA,NA
2002,"battle creek","redd_count",71,NA,NA
2002,"battle creek","holding_count",644,NA,NA
2003,"battle creek","P2S_modeled_count",62,48,77
2003,"battle creek","upstream_estimate",221,NA,NA
2003,"battle creek","redd_count",156,NA,NA
2003,"battle creek","holding_count",3044,NA,NA
2004,"battle creek","P2S_modeled_count",19,13,27
2004,"battle creek","upstream_estimate",90,NA,NA
2004,"battle creek","redd_count",35,NA,NA
2004,"battle creek","holding_count",4610,NA,NA
2005,"battle creek","P2S_modeled_count",28,20,39
2005,"battle creek","upstream_estimate",73,NA,NA
2005,"battle creek","redd_count",46,NA,NA
2005,"battle creek","holding_count",3123,NA,NA
2006,"battle creek","P2S_modeled_count",79,63,97
2006,"battle creek","upstream_estimate",221,NA,NA
2006,"battle creek","redd_count",121,NA,NA
2006,"battle creek","holding_count",337,NA,NA
2007,"battle creek","P2S_modeled_count",81,66,100
2007,"battle creek","upstream_estimate",291,NA,NA
2007,"battle creek","redd_count",132,NA,NA
2007,"battle creek","holding_count",217,NA,NA
2008,"battle creek","P2S_modeled_count",27,19,37
2008,"battle creek","upstream_estimate",105,NA,NA
2008,"battle creek","redd_count",38,NA,NA
2008,"battle creek","holding_count",48,NA,NA
2009,"battle creek","P2S_modeled_count",57,44,72
2009,"battle creek","upstream_estimate",194,NA,NA
2009,"battle creek","redd_count",85,NA,NA
2009,"battle creek","holding_count",66,NA,NA
2010,"battle creek","P2S_modeled_count",46,35,60
2010,"battle creek","upstream_estimate",174,NA,NA
2010,"battle creek","redd_count",89,NA,NA
2010,"battle creek","holding_count",44,NA,NA
2011,"battle creek","P2S_modeled_count",38,28,51
2011,"battle creek","upstream_estimate",159,NA,NA
2011,"battle creek","redd_count",66,NA,NA
2011,"battle creek","holding_count",56,NA,NA
2012,"battle creek","P2S_modeled_count",170,147,197
2012,"battle creek","upstream_estimate",799,NA,NA
2012,"battle creek","redd_count",312,NA,NA
2012,"battle creek","holding_count",475,NA,NA
2013,"battle creek","P2S_modeled_count",83,67,102
2013,"battle creek","upstream_estimate",608,NA,NA
2013,"battle creek","redd_count",119,NA,NA
