year,stream,prespawn_survival,max_flow,median_passage_timing,water_year_type,gdd_total
2001,battle creek,0.45045045045045046,NA,21.5,dry,NA
2002,battle creek,0.4594594594594595,NA,27,dry,NA
2003,battle creek,0.5520361990950227,2740,33,wet,1.1
2004,battle creek,0.4222222222222222,1370,24,dry,0.37
2005,battle creek,0.8493150684931506,2050,24,wet,5.45
2006,battle creek,0.7330316742081447,4700,25.5,wet,3.96
2007,battle creek,0.584192439862543,558,22,dry,59.59
2008,battle creek,0.5523809523809524,597,21,dry,33.49
2009,battle creek,0.6288659793814433,2630,21,dry,124.17
2010,battle creek,0.5632183908045977,1010,24,dry,2.03
2011,battle creek,0.4528301886792453,1870,26,wet,0
2012,battle creek,0.42803504380475593,1590,23,dry,30.97
2013,battle creek,0.2598684210526316,696,21,dry,33.56
2014,battle creek,0.36363636363636365,2940,22,dry,284.53
2015,battle creek,0.1878453038674033,320,21,dry,190.02
2016,battle creek,0.2777777777777778,3620,20,dry,325.53
2017,battle creek,0.26666666666666666,2100,24,wet,4.42
2018,battle creek,0.5121951219512195,3860,20,dry,61.1
2019,battle creek,0.851063829787234,2920,29,wet,0.5
