year,stream,prespawn_survival,max_flow,median_passage_timing,water_year_type,gdd_total
2000,clear creek,1.7777777777777777,NA,NA,wet,NA
2002,clear creek,3.242424242424242,NA,NA,dry,22.63
2003,clear creek,3.28,3590,NA,wet,10.01
2004,clear creek,0.7551020408163265,780,NA,dry,14.84
2005,clear creek,2,1490,NA,wet,0
2006,clear creek,1.896103896103896,2470,NA,wet,15.71
2007,clear creek,0.5051546391752577,320,NA,dry,54.11
2008,clear creek,0.65,301,NA,dry,22.98
2009,clear creek,1.9,895,NA,dry,91.67
2010,clear creek,3.8095238095238093,1020,NA,dry,0
2011,clear creek,10.5,1680,NA,wet,0
2012,clear creek,1.1764705882352942,1400,NA,dry,25
2013,clear creek,0.40971168437025796,955,21,dry,0.18
2014,clear creek,1.7894736842105263,908,22,dry,229.17
2015,clear creek,2.4,856,21,dry,111.11
2016,clear creek,2.2758620689655173,1850,20,dry,295.97
2017,clear creek,1.36,838,18,wet,0
2018,clear creek,1.9183673469387754,884,24,dry,38.89
2019,clear creek,3.4838709677419355,1490,22,wet,0.5
2020,clear creek,0.6395348837209303,1030,20,dry,116.33
2021,clear creek,0.1625222024866785,1030,NA,dry,258.56
