year,stream,upstream_count,redd_count,holding_count,carcass_estimate,female_upstream,prespawn_survival,prop_days_exceed_threshold_migratory,prop_days_exceed_threshold_holding,total_prop_days_exceed_threshold,mean_flow,max_flow,median_passage_timing,mean_passage_timing,min_passage_timing,water_year_type,gdd_trib,gdd_sac,gdd_total
2000,clear creek,9,8,NA,NA,4.5,1.7777777777777777,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,NA
2001,battle creek,111,25,119,NA,55.5,0.45045045045045046,NA,NA,NA,NA,NA,21.5,23.33783783783784,19,dry,NA,NA,NA
2002,battle creek,222,51,644,NA,111,0.4594594594594595,NA,NA,NA,NA,NA,27,27.90909090909091,21,dry,NA,NA,NA
2002,clear creek,66,107,NA,NA,33,3.242424242424242,NA,0.29,0.29,NA,NA,NA,NA,NA,dry,22.628448994354557,0,22.63
2003,battle creek,221,61,3044,NA,110.5,0.5520361990950227,0,0.25,0.125,604.320652173913,2740,33,32,25,wet,1.1018749999999997,0,1.1
2003,clear creek,25,41,NA,NA,12.5,3.28,0,0.18,0.09,285.5032608695652,3590,NA,NA,NA,wet,10.009113475177301,0,10.01
2004,battle creek,90,19,4610,NA,45,0.4222222222222222,0,0,0,452.625,1370,24,24.347826086956523,22,dry,0.36714285714285566,0,0.37
2004,clear creek,98,37,NA,NA,49,0.7551020408163265,0,0.16,0.08,191.86902173913043,780,NA,NA,NA,dry,14.835895390070913,0,14.84
2005,battle creek,73,31,3123,NA,36.5,0.8493150684931506,0,0.1,0.05,468.2554347826087,2050,24,24.813953488372093,21,wet,5.450727040816329,0,5.45
2005,clear creek,69,69,NA,NA,34.5,2,0,0,0,260.8532608695652,1490,NA,NA,NA,wet,0,0,0
2006,battle creek,221,81,337,NA,110.5,0.7330316742081447,0.01,0.03,0.02,919.9619565217391,4700,25.5,25.775,24,wet,0.9614583333333329,3.000000000000007,3.96
2006,clear creek,77,73,NA,NA,38.5,1.896103896103896,0.01,0.09,0.049999999999999996,284.52065217391305,2470,NA,NA,NA,wet,12.71104166666666,3.000000000000007,15.71
2007,battle creek,291,85,217,NA,145.5,0.584192439862543,0.18,0.16,0.16999999999999998,335.44565217391306,558,22,22.951871657754012,19,dry,12.369791666666657,47.22222222222227,59.59
2007,clear creek,194,49,NA,NA,97,0.5051546391752577,0.18,0.06,0.12,176.6853260869565,320,NA,NA,NA,dry,6.888291666666657,47.22222222222227,54.11
2008,battle creek,105,29,48,NA,52.5,0.5523809523809524,0.07,0.12,0.095,327.89130434782606,597,21,21.90909090909091,20,dry,11.264166666666675,22.22222222222225,33.49
2008,clear creek,200,65,632,NA,100,0.65,0.07,0,0.035,184.30869565217392,301,NA,NA,NA,dry,0.7551666666666641,22.22222222222225,22.98
2009,battle creek,194,61,66,NA,97,0.6288659793814433,0.12,0.27,0.195,391.7717391304348,2630,21,22.111702127659573,20,dry,32.50716666666666,91.6666666666667,124.17
