"year","stream","P2S_median_count","upstream_estimate","redd_count","holding_count","carcass_estimate","lcl","ucl"
1995,"battle creek",NA,66,NA,NA,NA,NA,NA
1996,"battle creek",NA,35,NA,NA,NA,NA,NA
1997,"battle creek",NA,107,NA,NA,NA,NA,NA
1998,"battle creek",NA,178,NA,NA,NA,NA,NA
1999,"battle creek",NA,73,NA,NA,NA,NA,NA
2000,"battle creek",NA,78,NA,NA,NA,NA,NA
2001,"battle creek",24,111,30,119,NA,17,33
2002,"battle creek",50,222,71,644,NA,38,64
2003,"battle creek",62,221,156,3044,NA,48,77
2004,"battle creek",19,90,35,4610,NA,13,27
2005,"battle creek",28,73,46,3123,NA,20,39
2006,"battle creek",79,221,121,337,NA,63,97
2007,"battle creek",81,291,132,217,NA,66,100
2008,"battle creek",27,105,38,48,NA,19,37
2009,"battle creek",57,194,85,66,NA,44,72
2010,"battle creek",46,174,89,44,NA,35,60
2011,"battle creek",38,159,66,56,NA,28,51
2012,"battle creek",170,799,312,475,NA,147,197
2013,"battle creek",83,608,119,380,NA,67,102
2014,"battle creek",79,429,97,146,NA,64,97
2015,"battle creek",22,181,28,59,NA,15,32
2016,"battle creek",28,180,50,86,NA,20,38
2017,"battle creek",7,30,5,5,NA,4,11
2018,"battle creek",19,82,29,35,NA,13,28
2019,"battle creek",18,47,30,16,NA,12,26
2020,"battle creek",NA,47,66,NA,NA,NA,NA
2021,"battle creek",NA,233,60,NA,NA,NA,NA
2022,"battle creek",NA,NA,57,NA,NA,NA,NA
2001,"butte creek",NA,NA,NA,3852,18415,NA,NA
2002,"butte creek",NA,NA,NA,3909,12893,NA,NA
2003,"butte creek",NA,NA,NA,2457,6063,NA,NA
2004,"butte creek",NA,NA,NA,2612,10221,NA,NA
2005,"butte creek",NA,NA,NA,4685,16981,NA,NA
2006,"butte creek",NA,NA,NA,2310,6296,NA,NA
2007,"butte creek",NA,NA,NA,2266,6237,NA,NA
2008,"butte creek",NA,NA,NA,2022,10009,NA,NA
2009,"butte creek",NA,NA,NA,1463,2561,NA,NA
2010,"butte creek",NA,NA,NA,730,1979,NA,NA
2011,"butte creek",NA,NA,NA,2025,4859,NA,NA
2012,"butte creek",NA,NA,NA,590,16140,NA,NA
2013,"butte creek",NA,NA,NA,3995,15886,NA,NA
2014,"butte creek",NA,NA,NA,1668,4851,NA,NA
2015,"butte creek",NA,1950,NA,725,413,NA,NA
2016,"butte creek",NA,4115,NA,1448,5371,NA,NA
2017,"butte creek",NA,NA,NA,552,515,NA,NA
2018,"butte creek",NA,NA,NA,NA,2320,NA,NA
2019,"butte creek",NA,5650,NA,NA,14679,NA,NA
2020,"butte creek",NA,2991,NA,NA,1229,NA,NA
2021,"butte creek",NA,7813,NA,NA,1807,NA,NA
2022,"butte creek",NA,5463,NA,NA,2900,NA,NA
1995,"clear creek",NA,2,NA,NA,NA,NA,NA
1998,"clear creek",NA,47,NA,NA,NA,NA,NA
1999,"clear creek",NA,35,NA,NA,NA,NA,NA
2000,"clear creek",NA,9,8,NA,NA,NA,NA
2001,"clear creek",NA,0,47,NA,NA,NA,NA
2002,"clear creek",105,66,149,NA,NA,87,127
2003,"clear creek",41,25,53,NA,NA,29,54
2004,"clear creek",37,98,37,NA,NA,27,50
2005,"clear creek",69,69,52,NA,NA,54,87
2006,"clear creek",73,77,82,NA,NA,58,91
2007,"clear creek",50,194,53,NA,NA,37,65
2008,"clear creek",65,200,86,632,NA,51,82
2009,"clear creek",113,120,64,260,NA,93,135
2010,"clear creek",38,21,9,150,NA,27,51
2011,"clear creek",40,8,16,89,NA,29,54
2012,"clear creek",40,68,26,298,NA,29,53
