year,stream,site_group,site
1997,feather river,feather river hfc,live oak
1997,feather river,feather river lfc,eye riffle
1998,feather river,feather river hfc,live oak
1998,feather river,feather river lfc,eye riffle
1999,feather river,feather river hfc,live oak
1999,feather river,feather river lfc,eye riffle
2000,feather river,feather river hfc,live oak
2000,feather river,feather river lfc,eye riffle
2001,feather river,feather river hfc,live oak
2001,feather river,feather river lfc,eye riffle
2002,feather river,feather river hfc,herringer riffle
2002,feather river,feather river lfc,eye riffle
2003,feather river,feather river hfc,herringer riffle
2003,feather river,feather river lfc,eye riffle
2004,feather river,feather river hfc,herringer riffle
2004,feather river,feather river lfc,eye riffle
2005,feather river,feather river hfc,herringer riffle
2005,feather river,feather river lfc,eye riffle
2006,feather river,feather river hfc,herringer riffle
2006,feather river,feather river lfc,eye riffle
2007,feather river,feather river hfc,sunset pumps
2007,feather river,feather river lfc,steep riffle
2008,feather river,feather river hfc,herringer riffle
2008,feather river,feather river lfc,steep riffle
2009,feather river,feather river hfc,sunset pumps
2009,feather river,feather river lfc,steep riffle
2010,feather river,feather river hfc,sunset pumps
2010,feather river,feather river lfc,steep riffle
2011,feather river,feather river hfc,sunset pumps
2011,feather river,feather river lfc,steep riffle
2012,feather river,feather river hfc,herringer riffle
2012,feather river,feather river lfc,steep riffle
2013,feather river,feather river hfc,herringer riffle
2013,feather river,feather river lfc,gateway riffle
2014,feather river,feather river hfc,herringer riffle
2014,feather river,feather river lfc,gateway riffle
2015,feather river,feather river hfc,herringer riffle
2015,feather river,feather river lfc,steep riffle
2016,feather river,feather river hfc,herringer riffle
2016,feather river,feather river lfc,gateway riffle
2017,feather river,feather river hfc,herringer riffle
2017,feather river,feather river lfc,gateway riffle
2018,feather river,feather river hfc,herringer riffle
2018,feather river,feather river lfc,eye riffle
2019,feather river,feather river hfc,herringer riffle
2019,feather river,feather river lfc,eye riffle
2020,feather river,feather river hfc,herringer riffle
2020,feather river,feather river lfc,eye riffle
2021,feather river,feather river hfc,herringer riffle
2021,feather river,feather river lfc,eye riffle
