"Trib" "RunYr" "Wk" "TribInd" "YrInd" "WkInd" "Rel1" "Recap1" "mr_flow"
"battle creek_ubc" 2004 2 1 1 11 147 15 0.00804831317635895
"battle creek_ubc" 2004 4 1 1 13 428 35 -0.487007746083626
"battle creek_ubc" 2004 5 1 1 14 387 53 0.0970871727554929
"battle creek_ubc" 2004 6 1 1 15 789 62 0.292972663829588
"battle creek_ubc" 2004 7 1 1 16 400 45 -0.308930026925358
"battle creek_ubc" 2004 8 1 1 17 282 19 1.65704799258192
"battle creek_ubc" 2004 10 1 1 19 725 54 0.855698256369715
"battle creek_ubc" 2004 11 1 1 20 450 45 0.663374319678785
"battle creek_ubc" 2004 13 1 1 22 269 26 0.934052452799352
"battle creek_ubc" 2004 14 1 1 23 272 6 0.506665926819509
"battle creek_ubc" 2004 15 1 1 24 157 2 0.317903544511745
"battle creek_ubc" 2004 16 1 1 25 597 12 0.218180021783115
"battle creek_ubc" 2005 1 1 2 10 105 4 -0.0952367639354365
"battle creek_ubc" 2005 2 1 2 11 221 6 -0.221671944537807
"battle creek_ubc" 2005 3 1 2 12 380 16 -0.682893237157721
"battle creek_ubc" 2005 4 1 2 13 791 17 0.471050382987856
"battle creek_ubc" 2005 5 1 2 14 861 25 -0.472761528550965
"battle creek_ubc" 2005 6 1 2 15 814 35 -0.681112459966138
"battle creek_ubc" 2005 7 1 2 16 848 65 -0.526184844298445
"battle creek_ubc" 2005 8 1 2 17 839 69 0.179002923568296
"battle creek_ubc" 2005 9 1 2 18 676 33 0.113114167479737
"battle creek_ubc" 2005 10 1 2 19 912 68 -0.305368472542193
"battle creek_ubc" 2005 11 1 2 20 318 21 -0.305368472542193
"battle creek_ubc" 2005 12 1 2 21 225 6 0.0205137535174377
"battle creek_ubc" 2005 13 1 2 22 237 9 -0.0133210131226332
"battle creek_ubc" 2005 14 1 2 23 350 24 -0.227014276112555
"battle creek_ubc" 2005 15 1 2 24 554 25 -0.00619790435630248
"battle creek_ubc" 2005 16 1 2 25 89 7 -0.202083395430397
"battle creek_ubc" 2005 17 1 2 26 100 2 -0.205644949813563
"battle creek_ubc" 2005 18 1 2 27 113 4 -0.162906297215578
"battle creek_ubc" 2005 19 1 2 28 65 1 1.27596167358323
"battle creek_ubc" 2006 5 1 3 14 197 3 1.21541524906942
"battle creek_ubc" 2006 6 1 3 15 507 19 2.18059648690723
"battle creek_ubc" 2006 7 1 3 16 410 12 0.663374319678785
"battle creek_ubc" 2006 8 1 3 17 425 16 0.339272870810737
"battle creek_ubc" 2006 12 1 3 21 464 12 1.1655534877051
"battle creek_ubc" 2008 52 1 4 8 249 6 -0.917955826446635
"battle creek_ubc" 2008 1 1 4 10 254 4 -0.736316552905201
"battle creek_ubc" 2008 2 1 4 11 1578 54 -0.0578404429122002
"battle creek_ubc" 2008 3 1 4 12 1245 49 -0.588512046003839
"battle creek_ubc" 2008 4 1 4 13 1033 26 0.485296600520517
"battle creek_ubc" 2008 5 1 4 14 1218 43 0.488858154903682
"battle creek_ubc" 2008 6 1 4 15 1205 30 -0.25016437960313
"battle creek_ubc" 2008 7 1 4 16 1209 92 -0.641935361751319
"battle creek_ubc" 2008 8 1 4 17 1204 29 -0.6953586774988
"battle creek_ubc" 2008 9 1 4 18 1221 35 0.244891679656855
"battle creek_ubc" 2008 10 1 4 19 981 21 -0.435365207527728
"battle creek_ubc" 2008 11 1 4 20 1215 24 -0.460296088209886
"battle creek_ubc" 2008 12 1 4 21 1392 48 -0.352855864199012
"battle creek_ubc" 2008 13 1 4 22 754 27 -0.394407332121327
"battle creek_ubc" 2008 14 1 4 23 607 20 -0.44961142506039
"battle creek_ubc" 2008 15 1 4 24 309 33 -0.483446191700461
"battle creek_ubc" 2009 52 1 5 8 506 12 -0.718508780989374
"battle creek_ubc" 2009 1 1 5 10 1012 26 -0.887682614189729
"battle creek_ubc" 2009 2 1 5 11 1006 48 -0.935763598362461
"battle creek_ubc" 2009 3 1 5 12 1012 22 -0.939325152745627
"battle creek_ubc" 2009 4 1 5 13 2490 94 -0.297533052899229
"battle creek_ubc" 2009 5 1 5 14 2922 140 -0.779055205503186
"battle creek_ubc" 2009 6 1 5 15 3114 136 -0.825355412484335
"battle creek_ubc" 2009 7 1 5 16 1001 14 2.91783824422246
"battle creek_ubc" 2009 8 1 5 17 1820 112 2.93564601613828
"battle creek_ubc" 2009 10 1 5 19 2252 85 1.10215781968476
"battle creek_ubc" 2009 11 1 5 20 2224 102 -0.0724428158831782
"battle creek_ubc" 2009 12 1 5 21 2121 82 -0.0845521007859404
"battle creek_ubc" 2009 13 1 5 22 2009 66 -0.221671944537807
"battle creek_ubc" 2009 14 1 5 23 2025 63 -0.371257228630752
"battle creek_ubc" 2010 1 1 6 10 1511 74 -0.868094065082319
"battle creek_ubc" 2010 2 1 6 11 516 47 -0.939325152745627
"battle creek_ubc" 2010 4 1 6 13 505 47 1.40773918576035
"battle creek_ubc" 2010 5 1 6 14 1008 40 0.228864684932611
"battle creek_ubc" 2010 6 1 6 15 846 26 0.755974733641084
"battle creek_ubc" 2010 7 1 6 16 1012 99 -0.102359872701767
"battle creek_ubc" 2010 8 1 6 17 1394 173 -0.380161114588665
"battle creek_ubc" 2011 2 1 7 11 1018 70 -0.426461321569815
"battle creek_ubc" 2011 3 1 7 12 746 39 -0.212768058579893
"battle creek_ubc" 2011 4 1 7 13 1555 132 -0.346326347948594
"battle creek_ubc" 2011 5 1 7 14 2010 159 -0.428242098761398
"battle creek_ubc" 2011 6 1 7 15 995 69 -0.52262328991528
"battle creek_ubc" 2011 8 1 7 17 987 46 0.585020123249147
"battle creek_ubc" 2011 9 1 7 18 1123 72 -0.362353342672838
"battle creek_ubc" 2011 10 1 7 19 995 52 0.0222945307090204
"battle creek_ubc" 2012 2 1 8 11 625 61 -0.950009815895123
"battle creek_ubc" 2012 3 1 8 12 383 37 -0.996310022876272
"battle creek_ubc" 2012 4 1 8 13 1217 107 2.32092172960394
"battle creek_ubc" 2012 5 1 8 14 1229 173 -0.647277693326067
"battle creek_ubc" 2012 6 1 8 15 655 63 -0.732754998522036
"battle creek_ubc" 2012 7 1 8 16 607 56 -0.03112878503846
"battle creek_ubc" 2012 8 1 8 17 602 75 -0.747001216054697
"battle creek_ubc" 2012 9 1 8 18 620 46 -0.796862977419012
"battle creek_ubc" 2012 10 1 8 19 590 55 -0.757685879204193
"battle creek_ubc" 2012 12 1 8 21 496 23 0.285849555063257
"battle creek_ubc" 2013 4 1 9 13 406 31 -0.458515311018303
"battle creek_ubc" 2013 5 1 9 14 373 29 -0.145098525299752
"battle creek_ubc" 2013 6 1 9 15 509 30 -0.287560700626366
"battle creek_ubc" 2013 7 1 9 16 388 18 -0.369476451439169
"battle creek_ubc" 2013 8 1 9 17 351 38 -0.365914897056004
"battle creek_ubc" 2013 9 1 9 18 345 25 -0.469199974167799
"battle creek_ubc" 2014 5 1 10 14 980 108 -1.06754111053958
"battle creek_ubc" 2014 8 1 10 17 536 41 -0.793301423035847
"battle creek_ubc" 2016 50 1 11 6 134 4 0.186126032334627
"battle creek_ubc" 2016 3 1 11 12 271 7 1.72827908024523
"battle creek_ubc" 2016 11 1 11 20 996 24 5.01915533029002
"battle creek_ubc" 2017 52 1 12 8 475 14 0.727482298575762
"battle creek_ubc" 2017 53 1 12 9 506 17 0.125579607820816
"battle creek_ubc" 2017 4 1 12 13 523 33 1.36856208754553
"battle creek_ubc" 2017 5 1 12 14 554 21 0.649128102146124
"battle creek_ubc" 2018 3 1 13 12 333 11 -0.426461321569815
"battle creek_ubc" 2018 5 1 13 14 411 25 -0.216329612963059
"battle creek_ubc" 2018 7 1 13 16 299 11 -0.426461321569815
"battle creek_ubc" 2018 11 1 13 20 402 18 -0.469199974167799
"battle creek_ubc" 2018 14 1 13 23 499 21 0.310780435745415
"battle creek_ubc" 2019 1 1 14 10 224 25 -0.625908367027075
"battle creek_ubc" 2019 6 1 14 15 300 22 3.13153150721238
"battle creek_ubc" 2020 4 1 15 13 208 1 -0.070305883253279
"battle creek_ubc" 2020 6 1 15 15 906 43 -0.52974639868161
"battle creek_ubc" 2020 7 1 15 16 1143 16 -0.697139454690382
"battle creek_ubc" 2021 45 1 16 1 332 47 -1.04617178424059
"battle creek_ubc" 2021 46 1 16 2 336 42 -1.03548712109109
