Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
52 71 506 12 172.7 -0.9 197.6 42.8
1 132 1012 26 100.1 -0.6 279.8 45.3
2 219 1006 48 89.3 -0.7 252.4 48.8
3 166 1012 22 118.7 -0.7 248.6 46.6
4 249 2490 94 157.4 -0.3 363 50
5 10 2922 140 171 -0.5 321.7 40.4
6 6 3114 136 168.3 -0.6 275.9 40.2
7 26 1001 14 74.2 -0.1 422.1 41
8 24 1820 112 82.2 1.1 742 41
10 13 2252 85 167.8 3 1250.9 40.5
11 2 2224 102 142.5 0.3 519.6 40.1
12 1 2121 82 169.5 0.2 491.9 40
13 3 2009 66 167.8 0 447.9 40.1
14 3 2025 63 170.4 -0.1 414.6 40.1
