Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -0.8 202.6 4
46 0 NA NA 145 -0.8 210.7 4
47 0 NA NA 168.3 -0.8 205.7 4
48 0 NA NA 173 -0.8 200.6 4
49 0 NA NA 167.6 -0.8 199.3 4
50 0 NA NA 145.9 -0.8 198.7 4
51 4 NA NA 167.1 -0.8 199.3 40.2
52 60 506 12 172.7 -0.9 197.6 42.4
53 25 NA NA 43 -0.8 211.1 41
1 111 1012 26 100.1 -0.5 279.8 44.4
2 184 1006 48 89.3 -0.6 252.4 47.4
3 139 1012 22 118.7 -0.6 248.6 45.6
4 209 2490 94 157.4 -0.1 363 48.4
5 8 2922 140 171 -0.3 321.7 40.3
6 5 3114 136 168.3 -0.5 275.9 40.2
7 22 1001 14 74.2 0.1 422.1 40.9
8 20 1820 112 82.2 1.5 742 40.8
9 22 NA NA 81.3 2.3 936.9 40.9
10 11 2252 85 167.8 3.7 1250.9 40.4
11 2 2224 102 142.5 0.5 519.6 40.1
12 1 2121 82 169.5 0.4 491.9 40
13 3 2009 66 167.8 0.2 447.9 40.1
14 3 2025 63 170.4 0.1 414.6 40.1
15 2 NA NA 166 -0.1 383.7 40.1
16 8 NA NA 165.5 -0.1 361.9 40.3
17 2 NA NA 173.9 0.1 424.1 40.1
18 17 NA NA 141 0.2 441.4 40.7
19 7 NA NA 167.8 0.9 609.7 40.3
20 6 NA NA 165.7 0.3 458.6 40.2
21 4 NA NA 118 0.1 429.9 40.2
22 0 NA NA 117.2 0 390 40
