"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.844 1.802 -3.846 -2.993 -2.799 -2.61 -1.899 1.252 2300
"trib_sd.P" 0.737 2.384 0.201 0.338 0.478 0.751 2.507 1.002 1600
"flow_mu.P" -0.139 0.078 -0.277 -0.172 -0.138 -0.104 -0.009 1.013 300
"flow_sd.P" 0.09 0.114 0.022 0.04 0.061 0.098 0.344 1.002 1700
"pro_sd.P" 0.54 0.022 0.497 0.524 0.54 0.555 0.585 1.005 490
"b0_pCap[1]" -2.989 0.052 -3.088 -3.023 -2.99 -2.956 -2.887 1.01 200
"b0_pCap[2]" -3.073 0.04 -3.152 -3.101 -3.073 -3.046 -2.994 1.006 390
"b0_pCap[3]" -2.35 0.047 -2.446 -2.382 -2.349 -2.317 -2.261 1.004 870
"b0_pCap[4]" -2.886 3.728 -4.74 -3.193 -2.809 -2.419 -1.017 1.246 3000
"b0_pCap[5]" -2.78 2.377 -4.714 -3.199 -2.798 -2.433 -0.859 1.215 3000
"b0_pCap[6]" -2.871 2.785 -4.964 -3.195 -2.809 -2.442 -0.944 1.18 2300
"b0_pCap[7]" -2.856 2.593 -4.916 -3.198 -2.802 -2.422 -0.866 1.212 3000
"b0_pCap[8]" -2.82 1.49 -4.741 -3.188 -2.798 -2.426 -0.8 1.116 3000
"b_flow[1]" -0.113 0.049 -0.205 -0.148 -0.115 -0.081 -0.012 1.005 420
"b_flow[2]" -0.143 0.045 -0.233 -0.172 -0.143 -0.113 -0.058 1.006 370
"b_flow[3]" -0.155 0.043 -0.241 -0.182 -0.155 -0.127 -0.074 1.002 1500
"b_flow[4]" -0.137 0.155 -0.41 -0.188 -0.137 -0.083 0.158 1.033 420
"b_flow[5]" -0.139 0.155 -0.429 -0.189 -0.136 -0.083 0.128 1.013 1200
"b_flow[6]" -0.142 0.156 -0.434 -0.195 -0.14 -0.084 0.126 1.01 1800
"b_flow[7]" -0.141 0.155 -0.407 -0.195 -0.142 -0.086 0.13 1.009 360
"b_flow[8]" -0.142 0.161 -0.408 -0.192 -0.14 -0.088 0.102 1.019 860
"pCap_U[1]" 0.06 0.032 0.019 0.038 0.054 0.075 0.141 1.001 2200
"pCap_U[2]" 0.059 0.031 0.019 0.036 0.052 0.074 0.14 1.001 3000
"pCap_U[3]" 0.06 0.032 0.019 0.038 0.052 0.075 0.143 1.001 3000
"pCap_U[4]" 0.06 0.031 0.019 0.037 0.053 0.076 0.138 1.002 1400
"pCap_U[5]" 0.059 0.03 0.019 0.038 0.054 0.075 0.135 1.001 3000
