"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.779 0.686 -3.72 -2.991 -2.795 -2.604 -1.819 1.012 1600
"trib_sd.P" 0.704 0.997 0.2 0.341 0.484 0.735 2.369 1.002 2200
"flow_mu.P" -0.136 0.107 -0.277 -0.171 -0.139 -0.106 0.004 1.044 2100
"flow_sd.P" 0.094 0.132 0.021 0.04 0.06 0.102 0.346 1.001 2200
"pro_sd.P" 0.539 0.021 0.499 0.525 0.539 0.554 0.585 1.001 3000
"b0_pCap[1]" -2.993 0.052 -3.097 -3.027 -2.992 -2.958 -2.892 1.002 1700
"b0_pCap[2]" -3.073 0.042 -3.152 -3.101 -3.074 -3.044 -2.989 1.01 220
"b0_pCap[3]" -2.347 0.048 -2.441 -2.379 -2.348 -2.314 -2.253 1.006 340
"b0_pCap[4]" -2.79 1.275 -4.799 -3.174 -2.815 -2.438 -0.963 1.024 1700
"b0_pCap[5]" -2.762 1.326 -4.678 -3.149 -2.773 -2.388 -0.798 1.008 3000
"b0_pCap[6]" -2.794 1.369 -4.905 -3.18 -2.799 -2.439 -0.861 1.022 1600
"b0_pCap[7]" -2.772 1.589 -4.796 -3.139 -2.785 -2.413 -0.866 1.087 3000
"b0_pCap[8]" -2.779 1.393 -4.601 -3.181 -2.819 -2.422 -0.803 1.076 1000
"b_flow[1]" -0.116 0.047 -0.204 -0.146 -0.118 -0.086 -0.018 1.007 320
"b_flow[2]" -0.144 0.044 -0.232 -0.174 -0.143 -0.115 -0.056 1.001 2200
"b_flow[3]" -0.155 0.043 -0.242 -0.184 -0.154 -0.126 -0.075 1.002 1400
"b_flow[4]" -0.137 0.182 -0.406 -0.193 -0.14 -0.087 0.165 1.024 2100
"b_flow[5]" -0.136 0.197 -0.418 -0.191 -0.14 -0.085 0.155 1.085 2200
"b_flow[6]" -0.136 0.214 -0.404 -0.192 -0.138 -0.086 0.176 1.071 1400
"b_flow[7]" -0.139 0.189 -0.438 -0.194 -0.14 -0.087 0.128 1.041 1700
