Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -1.5 78.1 5
46 NA NA NA 0 -1.5 72.1 5
47 NA NA NA 0 -1.5 74.3 5
48 52 NA NA 141.3 -1.4 80.8 42.1
49 41 NA NA 168 -1.4 82.3 41.6
50 56 NA NA 167.9 -1.3 96.2 42.2
51 225 402 12 154.9 -0.7 160.3 49
52 13 NA NA 168.9 -0.6 168 40.5
53 74 398 29 23.2 -0.3 202.6 43
1 67 NA NA 129.8 1.1 347 42.7
2 2 798 24 166.4 0.9 319.1 40.1
3 0 797 45 169.6 0 233.4 40
4 0 822 26 170.8 0.8 316.4 40
5 26 401 18 153.6 2.5 484.4 41
6 0 826 31 167.5 0.8 310.7 40
7 1 817 25 170.4 0.3 260 40
8 1 804 32 145 2.1 447.7 40
9 0 798 33 165.5 1.6 396.6 40
10 0 772 49 167.1 0.3 262.9 40
11 0 809 38 169.2 0.2 244.9 40
12 0 401 14 169.5 0 234.3 40
13 0 802 42 167.7 0 229.4 40
14 0 805 40 167.9 0 225.3 40
15 0 411 32 170.4 0 225.6 40
16 0 NA NA 168.7 0 225.4 40
17 0 NA NA 167.1 0 225.1 40
18 0 NA NA 165.8 -0.1 223.6 40
19 0 NA NA 167.3 -0.1 221.9 40
20 1 NA NA 169.7 -0.1 219.4 40
21 0 NA NA 165.1 -0.1 221 40
22 0 NA NA 168.9 -0.1 219.4 40
