"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.784 0.766 -3.762 -3.002 -2.806 -2.614 -1.785 1.045 3000
"trib_sd.P" 0.716 1.294 0.201 0.337 0.477 0.76 2.502 1.001 3000
"flow_mu.P" -0.141 0.092 -0.283 -0.172 -0.14 -0.106 -0.007 1.015 3000
"flow_sd.P" 0.093 0.27 0.021 0.04 0.059 0.097 0.317 1.001 3000
"pro_sd.P" 0.539 0.021 0.501 0.524 0.538 0.554 0.584 1.001 3000
"b0_pCap[1]" -2.99 0.052 -3.092 -3.023 -2.99 -2.955 -2.889 1.006 360
"b0_pCap[2]" -3.073 0.041 -3.156 -3.101 -3.073 -3.046 -2.993 1.002 1500
"b0_pCap[3]" -2.352 0.048 -2.445 -2.384 -2.352 -2.32 -2.257 1.006 360
"b0_pCap[4]" -2.821 1.467 -4.92 -3.189 -2.809 -2.433 -0.905 1.021 2500
"b0_pCap[5]" -2.788 1.332 -4.849 -3.202 -2.806 -2.433 -0.711 1.022 3000
"b0_pCap[6]" -2.758 1.793 -4.815 -3.171 -2.812 -2.428 -0.746 1.109 3000
"b0_pCap[7]" -2.768 1.635 -4.63 -3.181 -2.813 -2.433 -0.786 1.066 3000
"b0_pCap[8]" -2.808 2.277 -4.838 -3.203 -2.824 -2.454 -0.988 1.211 3000
"b_flow[1]" -0.115 0.048 -0.205 -0.146 -0.117 -0.083 -0.018 1.002 2000
"b_flow[2]" -0.145 0.044 -0.233 -0.172 -0.144 -0.115 -0.061 1.001 3000
"b_flow[3]" -0.156 0.043 -0.24 -0.185 -0.155 -0.126 -0.076 1.005 490
"b_flow[4]" -0.141 0.171 -0.405 -0.19 -0.138 -0.088 0.123 1.005 3000
"b_flow[5]" -0.145 0.361 -0.407 -0.188 -0.136 -0.088 0.115 1.219 2100
"b_flow[6]" -0.136 0.262 -0.427 -0.193 -0.14 -0.088 0.128 1.111 2500
"b_flow[7]" -0.147 0.23 -0.418 -0.193 -0.141 -0.09 0.121 1.087 2700
"b_flow[8]" -0.14 0.189 -0.401 -0.192 -0.137 -0.088 0.112 1.024 3000
