"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.195 0.355 -3.916 -3.42 -3.195 -2.967 -2.493 1.002 1800
"trib_sd.P" 1.074 0.29 0.673 0.874 1.02 1.217 1.798 1.002 1300
"flow_mu.P" -0.371 0.235 -0.878 -0.498 -0.359 -0.233 0.08 1.001 3000
"flow_sd.P" 0.663 0.252 0.29 0.49 0.623 0.798 1.258 1.003 680
"pro_sd.P" 0.665 0.018 0.632 0.653 0.665 0.677 0.702 1.001 3000
"b0_pCap[1]" -3.006 0.062 -3.122 -3.049 -3.006 -2.965 -2.883 1.013 180
"b0_pCap[2]" -3.233 1.139 -5.549 -3.913 -3.219 -2.518 -1.003 1.001 3000
"b0_pCap[3]" -1.606 0.213 -2.016 -1.754 -1.606 -1.456 -1.195 1.001 3000
"b0_pCap[4]" -3.087 0.049 -3.183 -3.12 -3.085 -3.053 -2.994 1.003 1300
"b0_pCap[5]" -2.348 0.063 -2.469 -2.391 -2.349 -2.304 -2.223 1.018 120
"b0_pCap[6]" -3.194 1.161 -5.52 -3.921 -3.191 -2.456 -0.873 1.001 3000
"b0_pCap[7]" -3.196 1.17 -5.536 -3.901 -3.187 -2.457 -0.917 1.001 3000
"b0_pCap[8]" -4.517 0.183 -4.883 -4.638 -4.517 -4.393 -4.158 1.001 3000
"b0_pCap[9]" -3.856 0.053 -3.964 -3.891 -3.855 -3.819 -3.754 1.008 300
"b0_pCap[10]" -3.853 0.127 -4.1 -3.943 -3.855 -3.768 -3.595 1.011 200
"b0_pCap[11]" -3.62 0.064 -3.748 -3.663 -3.619 -3.578 -3.496 1.004 580
"b0_pCap[12]" -1.917 0.065 -2.046 -1.962 -1.918 -1.872 -1.795 1.015 140
"b0_pCap[13]" -4.125 0.176 -4.486 -4.239 -4.127 -4.008 -3.79 1.011 220
"b0_pCap[14]" -3.191 1.185 -5.475 -3.914 -3.216 -2.467 -0.698 1.003 720
"b0_pCap[15]" -3.155 1.176 -5.414 -3.919 -3.159 -2.449 -0.731 1.002 1800
"b0_pCap[16]" -3.191 1.182 -5.558 -3.934 -3.168 -2.452 -0.855 1.001 3000
"b_flow[1]" -0.099 0.066 -0.227 -0.144 -0.098 -0.055 0.032 1.001 3000
"b_flow[2]" -0.372 0.731 -1.94 -0.761 -0.357 0.054 1.04 1.002 1200
"b_flow[3]" 0.203 0.235 -0.234 0.04 0.196 0.359 0.675 1.004 660
"b_flow[4]" -0.151 0.061 -0.272 -0.193 -0.15 -0.111 -0.035 1.006 380
