Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 3.1 4348.6 2
46 NA NA NA 0 2.7 3927.1 2
47 NA NA NA 0 2.4 3607.1 40.9
48 NA NA NA 0 1.7 2900 40.9
49 NA NA NA 0 0.3 1532.9 40.9
50 2 NA NA 116.9 -0.4 786.3 40.1
51 0 NA NA 168.2 -0.4 793.4 40
52 0 NA NA 120.2 -0.4 793 40
53 0 NA NA 24.6 -0.4 793.1 40
1 0 NA NA 120.4 -0.5 743.2 40
2 0 NA NA 167.6 -0.5 746.6 40
3 1 NA NA 167.9 -0.4 767.3 40
4 7 1061 28 171.8 -0.4 773.9 40.3
5 22 1568 32 165.7 -0.4 812 40.9
6 15 1772 44 170.7 -0.5 743.3 40.6
7 5 3353 141 167.9 -0.5 755.9 40.2
8 16 1986 58 164.9 -0.4 784.4 40.6
9 32 1998 54 167.5 -0.4 773.4 41.3
10 45 1973 56 172.1 -0.4 767.3 41.8
11 80 1933 88 165.6 -0.4 764.1 43.2
12 110 484 17 143.7 -0.4 766.4 44.4
13 54 1655 53 168.3 -0.4 784 42.2
14 52 478 14 92.3 -0.2 1009.7 42.1
15 23 474 6 167.7 0.1 1358.6 40.9
16 54 366 7 168.1 0.1 1277.1 42.2
17 32 420 17 168.9 -0.4 796.3 41.3
18 11 487 6 167.9 -0.5 749 40.4
19 3 1771 25 169.5 -0.5 740.9 40.1
20 0 187 5 165 -0.5 732.4 40
21 0 NA NA 122 -0.5 733.4 40
22 0 NA NA 72.7 -0.5 732.3 40
