Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
1 1 1695 99 237.5 -0.3 1630.9 3
2 6 1506 56 335 -0.3 1646.8 3
3 3 2492 72 337.2 -0.2 1655.4 3
4 10 2498 61 335.8 -0.3 1643.8 3
5 1 2488 50 335.8 -0.4 1609.5 40
6 7 2487 64 336.5 1.1 2167.3 40.3
7 12 1086 23 212.8 2.1 2535.2 40.5
8 3 1155 33 341.8 1.8 2410.8 40.1
9 7 1014 54 334.2 -0.2 1661.5 40.3
10 2 950 35 336.3 -0.4 1597.3 40.1
11 1 488 5 334.9 -0.2 1657 40
12 4 453 10 336.5 -0.3 1621.2 40.2
13 4 556 7 330 -0.2 1656 40.2
14 6 123 0 290.8 -0.4 1612.4 40.2
15 12 NA NA 236.8 -0.3 1626.3 40.5
16 10 NA NA 338.8 -0.5 1547.1 40.4
17 8 NA NA 287 -1.3 1246.6 40.3
18 0 NA NA 336.8 0.7 1990.5 40
19 0 NA NA 119.5 2.4 2654 40
20 1 NA NA 189.8 -0.7 1498.4 40
21 NA NA NA 0 -1 1372.9 40.2
22 NA NA NA 0 -1 1370.4 40.2
