"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.194 0.35 -3.885 -3.41 -3.194 -2.975 -2.525 1.002 1700
"trib_sd.P" 1.063 0.29 0.666 0.861 1.011 1.211 1.755 1.001 3000
"flow_mu.P" -0.353 0.218 -0.813 -0.483 -0.345 -0.218 0.064 1.003 850
"flow_sd.P" 0.617 0.235 0.28 0.453 0.579 0.73 1.178 1.012 180
"pro_sd.P" 0.665 0.018 0.631 0.653 0.665 0.677 0.703 1.001 3000
"b0_pCap[1]" -3.016 0.065 -3.146 -3.058 -3.014 -2.971 -2.894 1.004 520
"b0_pCap[2]" -3.182 1.135 -5.374 -3.869 -3.188 -2.47 -0.941 1.001 3000
"b0_pCap[3]" -1.626 0.217 -2.052 -1.771 -1.628 -1.482 -1.211 1.009 230
"b0_pCap[4]" -3.089 0.047 -3.183 -3.121 -3.089 -3.057 -2.996 1.01 230
"b0_pCap[5]" -2.35 0.06 -2.464 -2.391 -2.352 -2.31 -2.23 1.002 1300
"b0_pCap[6]" -3.213 1.154 -5.403 -3.933 -3.226 -2.481 -0.938 1.001 3000
"b0_pCap[7]" -3.215 1.159 -5.513 -3.913 -3.212 -2.482 -0.95 1.001 3000
"b0_pCap[8]" -4.512 0.182 -4.863 -4.635 -4.508 -4.39 -4.158 1.004 610
"b0_pCap[9]" -3.853 0.056 -3.966 -3.892 -3.853 -3.815 -3.744 1.002 1400
"b0_pCap[10]" -3.846 0.124 -4.082 -3.93 -3.847 -3.763 -3.592 1.002 1500
"b0_pCap[11]" -3.609 0.066 -3.739 -3.653 -3.607 -3.563 -3.48 1.006 470
"b0_pCap[12]" -1.914 0.067 -2.042 -1.962 -1.914 -1.869 -1.786 1.005 810
"b0_pCap[13]" -4.088 0.17 -4.435 -4.195 -4.087 -3.973 -3.762 1.026 100
"b0_pCap[14]" -3.205 1.13 -5.508 -3.903 -3.21 -2.482 -0.984 1.002 1900
"b0_pCap[15]" -3.159 1.154 -5.456 -3.848 -3.169 -2.456 -0.863 1.001 3000
"b0_pCap[16]" -3.176 1.118 -5.439 -3.848 -3.205 -2.477 -0.926 1.001 3000
"b_flow[1]" -0.098 0.068 -0.231 -0.146 -0.098 -0.05 0.033 1.007 330
"b_flow[2]" -0.349 0.713 -1.821 -0.751 -0.339 0.047 1.066 1.006 1200
"b_flow[3]" 0.217 0.242 -0.223 0.045 0.211 0.385 0.694 1.003 740
"b_flow[4]" -0.153 0.059 -0.269 -0.191 -0.153 -0.113 -0.04 1.003 1300
"b_flow[5]" -0.176 0.059 -0.301 -0.216 -0.173 -0.135 -0.068 1.002 1000
"b_flow[6]" -0.358 0.691 -1.801 -0.761 -0.332 0.019 0.981 1.002 1700
"b_flow[7]" -0.339 0.683 -1.704 -0.743 -0.345 0.067 1.062 1.003 1300
"b_flow[8]" 0.132 0.182 -0.228 0.012 0.132 0.254 0.492 1.006 390
"b_flow[9]" -0.306 0.062 -0.432 -0.345 -0.306 -0.263 -0.186 1.002 1300
"b_flow[10]" -0.736 0.135 -1.003 -0.828 -0.738 -0.645 -0.475 1.002 1600
"b_flow[11]" -0.203 0.092 -0.423 -0.256 -0.187 -0.135 -0.071 1.001 3000
"b_flow[12]" -0.545 0.075 -0.689 -0.597 -0.546 -0.493 -0.399 1.001 3000
"b_flow[13]" -1.704 0.487 -2.724 -2.016 -1.698 -1.373 -0.792 1.031 96
"b_flow[14]" -0.339 0.691 -1.767 -0.744 -0.325 0.067 1.108 1.003 3000
"b_flow[15]" -0.352 0.701 -1.753 -0.765 -0.36 0.074 1.065 1.001 3000
"b_flow[16]" -0.357 0.69 -1.787 -0.751 -0.345 0.061 1.004 1.004 610
"pCap_U[1]" 0.016 0.013 0.003 0.008 0.013 0.021 0.05 1.001 3000
"pCap_U[2]" 0.017 0.012 0.004 0.009 0.014 0.022 0.048 1.001 3000
"pCap_U[3]" 0.017 0.013 0.004 0.009 0.014 0.021 0.049 1.003 960
"pCap_U[4]" 0.017 0.012 0.003 0.009 0.014 0.022 0.05 1.001 2800
"pCap_U[5]" 0.016 0.012 0.003 0.008 0.013 0.02 0.046 1.001 3000
"pCap_U[6]" 0.015 0.011 0.004 0.008 0.012 0.02 0.043 1.001 3000
"pCap_U[7]" 0.016 0.011 0.003 0.008 0.012 0.02 0.047 1.004 640
"pCap_U[8]" 0.017 0.012 0.004 0.009 0.013 0.021 0.05 1.002 1700
"pCap_U[9]" 0.017 0.012 0.004 0.009 0.014 0.022 0.049 1.001 2800
"pCap_U[10]" 0.031 0.021 0.006 0.016 0.025 0.038 0.089 1.001 2300
"pCap_U[11]" 0.03 0.021 0.007 0.016 0.025 0.039 0.084 1.001 2300
"pCap_U[12]" 0.023 0.005 0.014 0.019 0.022 0.026 0.034 1.002 1600
"pCap_U[13]" 0.034 0.012 0.015 0.025 0.032 0.041 0.062 1.002 2000
"pCap_U[14]" 0.013 0.004 0.007 0.01 0.013 0.016 0.022 1.001 3000
"pCap_U[15]" 0.039 0.004 0.031 0.036 0.039 0.042 0.048 1.001 3000
"pCap_U[16]" 0.011 0.002 0.008 0.01 0.011 0.012 0.015 1.001 2500
"pCap_U[17]" 0.011 0.002 0.008 0.01 0.011 0.012 0.016 1.001 3000
"pCap_U[18]" 0.011 0.002 0.007 0.01 0.011 0.012 0.015 1.001 3000
"pCap_U[19]" 0.044 0.006 0.034 0.04 0.044 0.048 0.057 1.003 950
"pCap_U[20]" 0.013 0.004 0.006 0.01 0.012 0.015 0.022 1.001 3000
"pCap_U[21]" 0.017 0.003 0.012 0.015 0.017 0.019 0.024 1.001 3000
"pCap_U[22]" 0.012 0.003 0.006 0.009 0.011 0.013 0.019 1.003 890
"pCap_U[23]" 0.007 0.002 0.003 0.006 0.007 0.009 0.013 1.004 750
"pCap_U[24]" 0.03 0.008 0.017 0.024 0.029 0.034 0.047 1.001 3000
"pCap_U[25]" 0.008 0.003 0.003 0.006 0.008 0.01 0.016 1.001 2800
"pCap_U[26]" 0.013 0.004 0.007 0.01 0.013 0.015 0.021 1.001 3000
"pCap_U[27]" 0.015 0.004 0.009 0.012 0.015 0.017 0.023 1.001 3000
"pCap_U[28]" 0.008 0.003 0.004 0.006 0.008 0.01 0.014 1.002 1500
"pCap_U[29]" 0.03 0.02 0.007 0.016 0.024 0.039 0.085 1.001 3000
"pCap_U[30]" 0.03 0.022 0.007 0.015 0.024 0.037 0.088 1.001 3000
"pCap_U[31]" 0.029 0.02 0.006 0.015 0.024 0.036 0.087 1.001 3000
"N[1]" 894.902 739.462 57.68 300.075 668.25 1333.5 2705.15 1.003 920
"N[2]" 150.691 323.969 0.979 12.077 40.045 132.1 1097.025 1.002 1400
"N[3]" 76.582 193.393 0.456 5.922 20.535 63.785 527.011 1.002 2600
"N[4]" 46.671 128.314 0.387 4.125 12.365 36.755 308.902 1.003 940
"N[5]" 29.327 72.764 0.357 3.164 9.87 27.025 170.03 1.006 460
"N[6]" 24.797 70.334 0.356 3.147 8.625 22.992 143.507 1.005 430
"N[7]" 14.232 22.866 0.449 2.793 7.317 17.222 65.081 1.004 670
"N[8]" 26.136 36.059 1.645 7.071 15.385 31.532 116.2 1.004 560
"N[9]" 16.057 20.551 0.902 4.679 9.753 19.812 70.372 1.009 250
"N[10]" 17.648 19.258 1.262 6.099 12.17 23.142 66.745 1.009 260
"N[11]" 23.537 22.166 1.972 8.828 17.32 30.472 81.623 1.002 1900
"N[12]" 35.531 29.53 3.57 14.947 27.625 46.867 118.102 1.002 1800
"N[13]" 43.751 34.115 5.439 20.407 35.37 57.5 129.44 1.001 3000
"N[14]" 530.643 285.535 156.38 337.2 471.25 660.4 1246 1.002 1500
