Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -0.3 709 10
46 38 NA NA 73 -0.3 695.7 41.5
47 83 NA NA 142.2 -0.3 696 43.3
48 1022 NA NA 66.5 -0.3 694.6 80.9
49 2260 995 225 168.8 -0.3 693.7 130.4
50 2486 NA NA 167 -0.3 694.4 139.4
51 53 NA NA 126.8 -0.3 689.9 42.1
52 18 999 189 102 -0.3 750.3 40.7
53 NA NA NA 0 -0.3 701.6 45.5
1 15 1985 552 120.2 -0.3 733 40.6
2 8 1987 471 163.8 -0.3 739.4 40.3
3 7 NA NA 168.5 -0.3 735 40.3
4 4 991 165 172.2 -0.3 729.4 40.2
5 6 1230 46 163.8 -0.3 732.6 40.2
6 1 1490 77 167 -0.3 733.4 40
7 45 496 76 172.8 -0.3 723.3 41.8
8 111 248 77 140.8 -0.3 718.4 44.4
9 60 960 128 190.8 -0.3 723 42.4
10 8 723 148 168.5 -0.3 723.7 40.3
11 6 NA NA 95.8 2.6 8872.3 40.2
12 0 NA NA 46 4.3 13867.1 40
13 0 NA NA 123.8 1.6 6047.1 40
14 13 419 46 122.8 -0.1 1166.7 40.5
15 10 NA NA 139.2 -0.3 782.6 40.4
16 7 NA NA 72.2 -0.3 768.6 40.3
17 5 NA NA 72 -0.3 711.7 40.2
18 1 NA NA 118.8 -0.3 706.6 40
19 3 NA NA 148 -0.3 713.1 40.1
20 6 NA NA 70.5 -0.3 708.3 40.2
21 2 NA NA 171.5 -0.3 700.7 40.1
22 NA NA NA 0 -0.3 701.9 45.5
