"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.186 0.348 -3.894 -3.401 -3.18 -2.969 -2.474 1.002 1700
"trib_sd.P" 1.083 0.304 0.663 0.872 1.019 1.23 1.835 1.001 3000
"flow_mu.P" -0.372 0.219 -0.837 -0.5 -0.365 -0.232 0.024 1.005 430
"flow_sd.P" 0.648 0.241 0.295 0.484 0.605 0.775 1.265 1.003 910
"pro_sd.P" 0.665 0.018 0.631 0.652 0.664 0.677 0.702 1.001 2700
"b0_pCap[1]" -3.012 0.063 -3.139 -3.053 -3.011 -2.969 -2.887 1.004 1100
"b0_pCap[2]" -3.183 1.143 -5.427 -3.887 -3.196 -2.507 -0.903 1.001 2700
"b0_pCap[3]" -1.621 0.215 -2.034 -1.771 -1.624 -1.478 -1.183 1.001 3000
"b0_pCap[4]" -3.086 0.048 -3.181 -3.119 -3.086 -3.054 -2.991 1.001 3000
"b0_pCap[5]" -2.344 0.059 -2.462 -2.383 -2.344 -2.305 -2.226 1.01 220
"b0_pCap[6]" -3.187 1.206 -5.621 -3.923 -3.186 -2.438 -0.871 1.001 3000
"b0_pCap[7]" -3.139 1.215 -5.485 -3.887 -3.179 -2.427 -0.655 1.001 2200
"b0_pCap[8]" -4.529 0.186 -4.888 -4.653 -4.528 -4.401 -4.167 1.003 1000
"b0_pCap[9]" -3.863 0.056 -3.975 -3.901 -3.861 -3.825 -3.755 1.001 3000
"b0_pCap[10]" -3.856 0.123 -4.086 -3.942 -3.856 -3.773 -3.608 1.006 350
"b0_pCap[11]" -3.607 0.065 -3.736 -3.65 -3.608 -3.563 -3.48 1.003 1600
"b0_pCap[12]" -1.92 0.071 -2.066 -1.963 -1.918 -1.874 -1.777 1.019 350
"b0_pCap[13]" -4.11 0.174 -4.448 -4.226 -4.111 -3.988 -3.775 1.007 570
"b0_pCap[14]" -3.249 1.17 -5.597 -3.986 -3.252 -2.51 -0.946 1.001 3000
"b0_pCap[15]" -3.166 1.165 -5.534 -3.899 -3.164 -2.457 -0.804 1.001 3000
"b0_pCap[16]" -3.22 1.147 -5.534 -3.893 -3.239 -2.512 -0.912 1.001 3000
"b_flow[1]" -0.105 0.064 -0.233 -0.146 -0.106 -0.063 0.018 1.005 840
"b_flow[2]" -0.387 0.728 -1.933 -0.801 -0.37 0.044 1.037 1.002 1100
"b_flow[3]" 0.218 0.229 -0.227 0.058 0.214 0.381 0.658 1.004 590
"b_flow[4]" -0.148 0.06 -0.269 -0.188 -0.147 -0.107 -0.032 1.002 1400
"b_flow[5]" -0.18 0.063 -0.302 -0.222 -0.18 -0.137 -0.058 1.002 1600
"b_flow[6]" -0.374 0.722 -1.857 -0.783 -0.369 0.055 1.052 1.002 2000
"b_flow[7]" -0.377 0.736 -1.903 -0.794 -0.345 0.049 1.057 1.001 2100
"b_flow[8]" 0.144 0.185 -0.231 0.02 0.148 0.266 0.508 1.002 1500
"b_flow[9]" -0.304 0.062 -0.425 -0.344 -0.304 -0.264 -0.182 1.002 1500
"b_flow[10]" -0.746 0.133 -1.007 -0.834 -0.744 -0.659 -0.49 1.002 1200
"b_flow[11]" -0.199 0.093 -0.42 -0.25 -0.181 -0.133 -0.064 1.002 1100
"b_flow[12]" -0.546 0.077 -0.704 -0.594 -0.544 -0.494 -0.395 1.026 81
"b_flow[13]" -1.791 0.503 -2.82 -2.128 -1.776 -1.445 -0.831 1.008 450
"b_flow[14]" -0.377 0.727 -1.841 -0.799 -0.365 0.046 1.073 1.006 600
"b_flow[15]" -0.367 0.737 -1.908 -0.78 -0.345 0.051 1.132 1.001 2600
"b_flow[16]" -0.358 0.731 -1.867 -0.783 -0.342 0.053 1.113 1.001 3000
"pCap_U[1]" 0.168 0.096 0.043 0.099 0.148 0.215 0.416 1.002 1600
"pCap_U[2]" 0.164 0.088 0.045 0.1 0.145 0.209 0.393 1.001 3000
"pCap_U[3]" 0.167 0.091 0.046 0.102 0.15 0.212 0.39 1.001 2600
"pCap_U[4]" 0.169 0.092 0.047 0.101 0.148 0.216 0.407 1.003 970
"pCap_U[5]" 0.225 0.013 0.198 0.216 0.225 0.233 0.25 1.001 3000
"pCap_U[6]" 0.166 0.091 0.044 0.098 0.148 0.215 0.389 1.002 1600
"pCap_U[7]" 0.165 0.09 0.045 0.098 0.147 0.212 0.387 1.001 3000
"pCap_U[8]" 0.188 0.012 0.165 0.18 0.188 0.196 0.213 1.001 3000
"pCap_U[9]" 0.167 0.089 0.044 0.101 0.15 0.214 0.383 1.001 3000
"pCap_U[10]" 0.277 0.01 0.258 0.27 0.277 0.284 0.297 1.001 3000
"pCap_U[11]" 0.236 0.009 0.217 0.23 0.236 0.242 0.255 1.001 2500
"pCap_U[12]" 0.166 0.091 0.044 0.1 0.146 0.213 0.391 1.001 3000
"pCap_U[13]" 0.165 0.012 0.143 0.157 0.165 0.173 0.189 1.001 2600
"pCap_U[14]" 0.04 0.005 0.03 0.036 0.039 0.043 0.051 1.001 3000
"pCap_U[15]" 0.053 0.006 0.042 0.049 0.052 0.057 0.065 1.001 3000
"pCap_U[16]" 0.152 0.016 0.122 0.141 0.151 0.162 0.184 1.001 2300
"pCap_U[17]" 0.3 0.029 0.246 0.28 0.299 0.319 0.358 1.001 3000
"pCap_U[18]" 0.133 0.011 0.113 0.126 0.133 0.141 0.155 1.001 3000
"pCap_U[19]" 0.203 0.015 0.174 0.193 0.202 0.212 0.233 1.002 1400
"pCap_U[20]" 0.044 0.031 0.009 0.023 0.036 0.056 0.122 1.002 1500
"pCap_U[21]" 0.019 0.016 0.003 0.009 0.014 0.023 0.061 1.012 170
"pCap_U[22]" 0.072 0.049 0.016 0.038 0.059 0.091 0.198 1.002 1800
"pCap_U[23]" 0.107 0.015 0.08 0.097 0.107 0.117 0.137 1.002 1900
"pCap_U[24]" 0.166 0.091 0.044 0.1 0.147 0.213 0.392 1.001 3000
"pCap_U[25]" 0.164 0.089 0.042 0.099 0.146 0.211 0.384 1.001 3000
"pCap_U[26]" 0.168 0.092 0.047 0.1 0.149 0.217 0.393 1.001 3000
"pCap_U[27]" 0.166 0.09 0.045 0.1 0.146 0.213 0.38 1.002 1100
"pCap_U[28]" 0.168 0.09 0.046 0.103 0.151 0.216 0.393 1.004 570
"pCap_U[29]" 0.168 0.093 0.043 0.1 0.149 0.217 0.401 1.001 3000
"pCap_U[30]" 0.166 0.09 0.044 0.1 0.148 0.213 0.39 1.001 3000
"pCap_U[31]" 0.166 0.092 0.043 0.099 0.147 0.214 0.397 1.001 2700
"N[1]" 2093.772 2335.539 38.504 405.15 1152 2886.746 8487.873 1.002 1800
"N[2]" 325.053 282.82 61.204 167.475 251.75 383.525 1113.025 1.001 3000
"N[3]" 697.968 643.888 132.695 349.175 534.85 828.65 2230.547 1.001 3000
"N[4]" 8571.476 7455.762 1563.95 4316 6711.5 10132.499 28643.74 1.001 3000
"N[5]" 10086.952 870.1 8433.173 9578.75 10050 10530 11990.25 1.001 3000
"N[6]" 20678.849 16760.576 4076.975 10620 16024.999 24847.497 69453.996 1.002 1300
"N[7]" 443.355 381.629 82.735 220.425 347.7 534.225 1396.299 1.001 3000
"N[8]" 97.826 22.566 58.648 81.697 96.11 111.2 147.315 1.001 3000
"N[9]" 1030.45 2869.735 7.394 84.525 253.3 792.45 7019.94 1.001 3000
"N[10]" 55.555 12.281 34.789 46.885 54.68 62.772 82.591 1 3000
"N[11]" 36.009 10.763 18.85 28.277 34.91 42.412 60.58 1.001 3000
"N[12]" 62.356 66.044 10.858 28.407 45.275 72.88 219.022 1.001 3000
"N[13]" 27.917 11.83 9.961 19.327 26.15 34.35 55.941 1.001 2800
"N[14]" 153.088 67.608 54.713 105.4 142.2 189.6 312.212 1.003 850
"N[15]" 30.376 22.288 3.556 14.255 24.91 40.835 88.9 1.003 790
"N[16]" 296.602 60.14 196.292 255.3 291.15 332.3 424.705 1.001 3000
"N[17]" 373.921 59.738 269.4 336.875 369.35 407.1 505.522 1.001 3000
"N[18]" 448.616 74.54 316.795 399.9 442.55 493.375 607.605 1.001 3000
"N[19]" 40.436 13.297 19.419 30.735 38.61 48.062 72.3 1.001 3000
"N[20]" 204.175 230.805 16.846 77.952 140.05 245.4 769.63 1.002 1300
"N[21]" 34.592 53.332 0.892 7.158 17.37 40.157 174.207 1.003 670
"N[22]" 12.99 17.604 0.36 3.148 7.341 16.06 59.125 1.001 3000
"N[23]" 119.973 39.119 56.928 91.507 116.7 142.9 207.21 1.001 3000
"N[24]" 82.242 74.885 15.72 39.44 61.9 99.702 262.907 1.002 1700
"N[25]" 59.744 59.346 10.279 27.187 44.085 72.472 204.122 1.003 930
"N[26]" 40.594 36.208 7.255 18.775 30.62 49.872 133.61 1.001 3000
"N[27]" 11.164 12.142 1.363 3.867 7.595 13.782 42.331 1.001 2700
"N[28]" 24.63 23.435 4.355 11.055 18.055 30.34 81.51 1.003 920
"N[29]" 47.534 44.566 8.753 21.917 35.05 57.07 162.515 1.002 2100
"N[30]" 16.985 16.99 2.589 6.749 11.775 20.877 62.64 1.003 980
"N[31]" 79.74 440.843 0.124 1.757 7.519 31.202 559.284 1.005 500
