"Trib" "RunYr" "Wk" "TribInd" "YrInd" "WkInd" "Rel1" "Recap1" "mr_flow"
"battle creek_ubc" 2003 4 1 1 13 168 0 2.21813259041945
"battle creek_ubc" 2003 5 1 1 14 612 47 0.500881662179465
"battle creek_ubc" 2003 6 1 1 15 417 23 -0.079603206445703
"battle creek_ubc" 2003 7 1 1 16 780 53 0.606974449148485
"battle creek_ubc" 2003 8 1 1 17 736 22 0.0426253656136621
"battle creek_ubc" 2003 9 1 1 18 492 37 -0.449919474269125
"battle creek_ubc" 2003 10 1 1 19 717 41 -0.59554493470949
"battle creek_ubc" 2003 11 1 1 20 659 29 2.06806978907924
"battle creek_ubc" 2003 12 1 1 21 131 6 0.180182933508854
"battle creek_ubc" 2003 13 1 1 22 70 1 1.15801150998377
"battle creek_ubc" 2003 14 1 1 23 99 4 0.625530602002382
"battle creek_ubc" 2003 15 1 1 24 84 4 1.03457275404263
"battle creek_ubc" 2003 16 1 1 25 266 10 0.379459879374618
"battle creek_ubc" 2003 17 1 1 26 258 8 2.46904404857432
"battle creek_ubc" 2004 3 1 2 12 147 15 -0.500747197303712
"battle creek_ubc" 2004 5 1 2 14 815 88 0.597696372721536
"battle creek_ubc" 2004 6 1 2 15 390 21 -0.175611127733257
"battle creek_ubc" 2004 7 1 2 16 799 86 2.81798040115303
"battle creek_ubc" 2004 9 1 2 18 282 19 3.6413088353879
"battle creek_ubc" 2004 10 1 2 19 300 27 0.617462709457209
"battle creek_ubc" 2004 11 1 2 20 875 72 0.719924944780901
"battle creek_ubc" 2004 13 1 2 22 269 26 0.525488734442242
"battle creek_ubc" 2004 14 1 2 23 272 6 0.257634701942512
"battle creek_ubc" 2004 15 1 2 24 157 2 0.201966243380821
"battle creek_ubc" 2004 16 1 2 25 597 12 0.0309269214231615
"battle creek_ubc" 2005 1 1 3 10 105 4 -0.03926374371984
"battle creek_ubc" 2005 2 1 3 11 221 6 -0.792401512811702
"battle creek_ubc" 2005 3 1 3 12 380 16 -0.381342387635158
"battle creek_ubc" 2005 4 1 3 13 791 17 -0.0146566714570635
"battle creek_ubc" 2005 5 1 3 14 861 25 -0.839598684200961
"battle creek_ubc" 2005 6 1 3 15 814 35 -0.74883489306777
"battle creek_ubc" 2005 7 1 3 16 848 65 -0.30711777621957
"battle creek_ubc" 2005 8 1 3 17 839 69 -0.263551156475638
"battle creek_ubc" 2005 9 1 3 18 676 33 -0.271215654393552
"battle creek_ubc" 2005 10 1 3 19 912 68 -0.480577465940781
"battle creek_ubc" 2005 11 1 3 20 318 21 -0.546734184811196
"battle creek_ubc" 2005 12 1 3 21 225 6 -0.129624140225773
"battle creek_ubc" 2005 13 1 3 22 237 9 -0.344230081927364
"battle creek_ubc" 2005 14 1 3 23 350 24 0.0204386611144375
"battle creek_ubc" 2005 15 1 3 24 554 25 -0.317202641901036
"battle creek_ubc" 2005 16 1 3 25 89 7 -0.341002924909295
"battle creek_ubc" 2005 17 1 3 26 100 2 -0.292595569638259
"battle creek_ubc" 2005 18 1 3 27 113 4 2.16569128887583
"battle creek_ubc" 2005 19 1 3 28 65 1 1.29193852623364
"battle creek_ubc" 2006 5 1 4 14 197 3 4.44487093288709
"battle creek_ubc" 2006 6 1 4 15 507 19 0.990602739671442
"battle creek_ubc" 2006 7 1 4 16 410 12 0.425446866882102
"battle creek_ubc" 2006 8 1 4 17 425 16 4.50699370548492
"battle creek_ubc" 2006 12 1 4 21 464 12 2.03660500815307
"battle creek_ubc" 2008 52 1 5 8 249 6 -1.06227251844772
"battle creek_ubc" 2008 1 1 5 10 254 4 0.443196230481481
"battle creek_ubc" 2008 2 1 5 11 1578 54 -0.579409149619145
"battle creek_ubc" 2008 3 1 5 12 1245 49 -0.795225275202512
"battle creek_ubc" 2008 4 1 5 13 1033 26 0.592048847939916
"battle creek_ubc" 2008 5 1 5 14 1218 43 -0.359962472390451
"battle creek_ubc" 2008 6 1 5 15 1205 30 -0.789577750420891
"battle creek_ubc" 2008 7 1 5 16 1209 92 -0.875097411399721
"battle creek_ubc" 2008 8 1 5 17 1204 29 0.143070627801061
"battle creek_ubc" 2008 9 1 5 18 1221 35 -0.537456108384248
"battle creek_ubc" 2008 10 1 5 19 981 21 -0.665735599852492
"battle creek_ubc" 2008 11 1 5 20 1215 24 -0.532211978229886
"battle creek_ubc" 2008 12 1 5 21 1392 48 -0.528715891460309
"battle creek_ubc" 2008 13 1 5 22 754 27 -0.573089300458758
"battle creek_ubc" 2008 14 1 5 23 607 20 -0.65161678789844
"battle creek_ubc" 2008 15 1 5 24 309 33 -0.613697692936129
"battle creek_ubc" 2009 52 1 6 8 506 12 -1.0937372993739
"battle creek_ubc" 2009 1 1 6 10 508 16 -1.11552060924586
"battle creek_ubc" 2009 2 1 6 11 1007 36 -1.16191099138061
"battle creek_ubc" 2009 3 1 6 12 1005 38 -1.14859896868107
"battle creek_ubc" 2009 4 1 6 13 2004 52 -0.525959361507377
"battle creek_ubc" 2009 5 1 6 14 2391 104 -1.02112626646734
"battle creek_ubc" 2009 6 1 6 15 3046 177 -0.870256675872617
"battle creek_ubc" 2009 7 1 6 16 1595 43 -0.420875061106504
"battle creek_ubc" 2009 8 1 6 17 1503 58 0.710781333229704
"battle creek_ubc" 2009 9 1 6 18 1318 68 2.50454277577308
"battle creek_ubc" 2009 10 1 6 19 1018 35 0.103537954329715
"battle creek_ubc" 2009 11 1 6 20 2236 90 -0.158345837686587
"battle creek_ubc" 2009 12 1 6 21 2335 102 -0.260323999457569
"battle creek_ubc" 2009 13 1 6 22 2017 87 -0.396671383470986
"battle creek_ubc" 2009 14 1 6 23 2030 64 -0.552381709592817
"battle creek_ubc" 2009 15 1 6 24 995 20 -0.620958796226784
"battle creek_ubc" 2010 1 1 7 10 1511 74 -1.19458595618856
"battle creek_ubc" 2010 2 1 7 11 516 47 -0.316799247273777
"battle creek_ubc" 2010 3 1 7 12 505 47 1.87282678948606
"battle creek_ubc" 2010 5 1 7 14 1008 40 1.01278944417067
"battle creek_ubc" 2010 6 1 7 15 1858 125 -0.322850166682657
"battle creek_ubc" 2010 8 1 7 17 1394 173 0.460945594080861
"battle creek_ubc" 2011 2 1 8 11 1018 70 -0.173997549224222
"battle creek_ubc" 2011 3 1 8 12 1296 94 -0.539069686893282
"battle creek_ubc" 2011 4 1 8 13 2015 159 -0.596755118591266
