"FishID","ch","StudyID","fish_length","fish_weight","fish_type","fish_release_date","release_location","fish_k","year","t_reach2","t_reach3","t_reach4","Flow_ButteBridge","Flow_Endpoint","Flow_Releasepoint","Flow_Sacramento","Flow_Woodson Br","Temp_ButteBridge","Temp_Endpoint","Temp_Releasepoint","Temp_Sacramento","Temp_Woodson Br","Vel_ButteBridge","Vel_Endpoint","Vel_Releasepoint","Vel_Sacramento","Vel_Woodson Br","length.z","k.z","flowRel.z","flowWood.z","flowBut.z","flowSac.z","tempRel.z","tempWood.z","tempBut.z","tempSac.z","velRel.z","velWood.z","velBut.z","velSac.z","t_reach2.z","t_reach3.z"
"CFC2013-001","11000","ColemanFall_2013",85,6.35,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00103399145125178,"2013",1.9563818900848,3.87240650141335,4.59051351743133,227.79,208.32,239.46,334.33,431.94,16.1,17.8,12.1,17.4,16.1,0.64,0.53,1.37,1.71,0.8,-0.293151984121169,-1.34846900612099,-0.474956996266518,-0.337713929320753,-0.366922576930443,-0.494248993508224,-0.665183562478102,-1.20589594054767,-0.491969530674656,-0.712889201198617,-0.525983468678543,-0.249221494113723,-0.241044517439809,-0.429646427848441,-0.154792372898463,0.217853874950443
"CFC2013-002","11100","ColemanFall_2013",95,9.41,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00109753608397726,"2013",1.52217592592593,3.04548361962746,5.17508448394579,216.24,208.32,239.46,334.33,431.94,16.8,17.8,12.1,17.4,16.1,0.63,0.53,1.37,1.71,0.8,1.35456565443328,-0.647318290343118,-0.474956996266518,-0.337713929320753,-0.409924661341601,-0.494248993508224,-0.665183562478102,-1.20589594054767,-0.248243427028643,-0.712889201198617,-0.525983468678543,-0.249221494113723,-0.344403947567708,-0.429646427848441,-0.536155012808098,-0.171667681511287
"CFC2013-003","11000","ColemanFall_2013",83,6.3,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00110180889037351,"2013",2.11436840889324,4.83961094350221,6.44165491139378,216.24,186.41,239.46,298.59,431.94,16.8,19.6,12.1,16.5,16.1,0.63,0.5,1.37,1.65,0.8,-0.622695511832059,-0.60017219578532,-0.474956996266518,-0.337713929320753,-0.409924661341601,-0.554744207314048,-0.665183562478102,-1.20589594054767,-0.248243427028643,-1.00206341948382,-0.525983468678543,-0.249221494113723,-0.344403947567708,-0.525030273102672,-0.0160329802226105,0.673454981169074
"CFC2013-004","11000","ColemanFall_2013",81,6.75,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00127013158563227,"2013",4.22743809795608,2.4031417382402,6.63651190023193,183.89,186.41,239.46,298.59,431.94,16.1,19.6,12.1,16.5,16.1,0.61,0.5,1.37,1.65,0.8,-0.952239039542949,1.25709840600107,-0.474956996266518,-0.337713929320753,-0.530367728934759,-0.554744207314048,-0.665183562478102,-1.20589594054767,-0.491969530674656,-1.00206341948382,-0.525983468678543,-0.249221494113723,-0.551122807823507,-0.525030273102672,1.83987389681692,-0.474242461977096
"CFC2013-005","11110","ColemanFall_2013",80,6.1,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00119140625,"2013",2.1047337962963,3.64883101851852,5.28643133471044,216.24,196.6,239.46,298.59,431.94,16.8,18.8,12.1,16.5,16.1,0.63,0.51,1.37,1.65,0.8,-1.11701080339839,0.388443996322012,-0.474956996266518,-0.337713929320753,-0.409924661341601,-0.554744207314048,-0.665183562478102,-1.20589594054767,-0.248243427028643,-1.00206341948382,-0.525983468678543,-0.249221494113723,-0.344403947567708,-0.525030273102672,-0.0244950502948027,0.112538769996767
"CFC2013-006","11000","ColemanFall_2013",82,6.65,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.001206091031761,"2013",2.27235492770167,3.43679534047257,6.6643486129231,201.31,186.41,239.46,298.59,412.57,16.6,19.6,12.1,16.5,16.8,0.62,0.5,1.37,1.65,0.78,-0.787467275687504,0.550475702245151,-0.474956996266518,-0.372495523962784,-0.465510905519834,-0.554744207314048,-0.665183562478102,-0.89956918417779,-0.317879456641789,-1.00206341948382,-0.525983468678543,-0.293681082807237,-0.447763377695608,-0.525030273102672,0.122726412453242,0.0126594836000672
"CFC2013-007","11100","ColemanFall_2013",86,7.1,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00111625391474964,"2013",1.91560185185185,4.43353274262521,7.1375727286729,216.24,186.41,239.46,298.59,431.94,16.8,19.6,12.1,16.5,16.1,0.63,0.5,1.37,1.65,0.8,-0.128380220265724,-0.440785969972845,-0.474956996266518,-0.337713929320753,-0.409924661341601,-0.554744207314048,-0.665183562478102,-1.20589594054767,-0.248243427028643,-1.00206341948382,-0.525983468678543,-0.249221494113723,-0.344403947567708,-0.525030273102672,-0.19060943742511,0.482172073978046
"CFC2013-008","11100","ColemanFall_2013",87,6.4,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.000971901418824212,"2013",2.35471064814815,3.92408918152497,6.05194093371747,201.31,188.14,239.46,298.59,431.94,16.6,19.3,12.1,16.5,16.1,0.62,0.5,1.37,1.65,0.8,0.0363915435897205,-2.03356967964818,-0.474956996266518,-0.337713929320753,-0.465510905519834,-0.554744207314048,-0.665183562478102,-1.20589594054767,-0.317879456641789,-1.00206341948382,-0.525983468678543,-0.249221494113723,-0.447763377695608,-0.525030273102672,0.195059354774678,0.242198972229301
"CFC2013-009","11100","ColemanFall_2013",88,8.23,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00120767984598047,"2013",2.18052083333333,3.783807621222,6.20504285351888,216.24,196.6,239.46,334.33,431.94,16.8,18.8,12.1,17.4,16.1,0.63,0.51,1.37,1.71,0.8,0.201163307445165,0.568006659297464,-0.474956996266518,-0.337713929320753,-0.409924661341601,-0.494248993508224,-0.665183562478102,-1.20589594054767,-0.248243427028643,-0.712889201198617,-0.525983468678543,-0.249221494113723,-0.344403947567708,-0.429646427848441,0.0420686243229841,0.1761194224724
"CFC2013-010","11000","ColemanFall_2013",85,6.07,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.000988398127417057,"2013",2.88455268808437,4.6919461431833,5.82924723218816,216.24,186.41,239.46,269.5,431.94,16.8,19.6,12.1,16.6,16.1,0.63,0.5,1.37,1.59,0.8,-0.293151984121169,-1.8515451947822,-0.474956996266518,-0.337713929320753,-0.409924661341601,-0.603983316704407,-0.665183562478102,-1.20589594054767,-0.248243427028643,-0.96993295078546,-0.525983468678543,-0.249221494113723,-0.344403947567708,-0.620414118356902,0.660419059072172,0.603897560372336
